Filename,f_measure
genotype_model1_0_01p_0005h_005m_043.csv,0.532258064516129
genotype_model1_0_01p_0005h_005m_031.csv,0.5857988165680473
genotype_model1_0_01p_0005h_005m_011.csv,0.5129533678756477
genotype_model1_0_01p_0005h_005m_060.csv,0.6092307692307692
genotype_model1_0_01p_0005h_005m_086.csv,0.5129533678756477
genotype_model1_0_01p_0005h_005m_099.csv,0.5689655172413793
genotype_model1_0_01p_0005h_005m_059.csv,0.5806451612903225
genotype_model1_0_01p_0005h_005m_022.csv,0.5076923076923077
genotype_model1_0_01p_0005h_005m_076.csv,0.5063938618925832
genotype_model1_0_01p_0005h_005m_024.csv,0.6325878594249201
genotype_model1_0_01p_0005h_005m_042.csv,0.5963855421686747
genotype_model1_0_01p_0005h_005m_070.csv,0.5251989389920425
genotype_model1_0_01p_0005h_005m_038.csv,0.6644295302013423
genotype_model1_0_01p_0005h_005m_023.csv,0.5051020408163266
genotype_model1_0_01p_0005h_005m_062.csv,0.5089974293059126
genotype_model1_0_01p_0005h_005m_036.csv,0.5129533678756477
genotype_model1_0_01p_0005h_005m_040.csv,0.5515320334261838
genotype_model1_0_01p_0005h_005m_002.csv,0.5129533678756477
genotype_model1_0_01p_0005h_005m_091.csv,0.601823708206687
genotype_model1_0_01p_0005h_005m_064.csv,0.5038167938931297
genotype_model1_0_01p_0005h_005m_063.csv,0.5308310991957105
genotype_model1_0_01p_0005h_005m_055.csv,0.5515320334261838
genotype_model1_0_01p_0005h_005m_006.csv,0.6073619631901841
genotype_model1_0_01p_0005h_005m_015.csv,0.6325878594249201
genotype_model1_0_01p_0005h_005m_039.csv,0.5577464788732395
genotype_model1_0_01p_0005h_005m_032.csv,0.6578073089700998
genotype_model1_0_01p_0005h_005m_007.csv,0.5395095367847411
genotype_model1_0_01p_0005h_005m_054.csv,0.518324607329843
genotype_model1_0_01p_0005h_005m_088.csv,0.5063938618925832
genotype_model1_0_01p_0005h_005m_100.csv,0.5038167938931297
genotype_model1_0_01p_0005h_005m_068.csv,0.591044776119403
genotype_model1_0_01p_0005h_005m_012.csv,0.6168224299065421
genotype_model1_0_01p_0005h_005m_020.csv,0.526595744680851
genotype_model1_0_01p_0005h_005m_074.csv,0.5945945945945946
genotype_model1_0_01p_0005h_005m_018.csv,1.0
genotype_model1_0_01p_0005h_005m_071.csv,1.0
genotype_model1_0_01p_0005h_005m_067.csv,0.592814371257485
genotype_model1_0_01p_0005h_005m_073.csv,0.5981873111782477
genotype_model1_0_01p_0005h_005m_014.csv,0.6534653465346535
