Filename,power
genotype_model2_3_01p_002h_05m_073.csv,0.97
genotype_model2_3_01p_002h_05m_036.csv,0.98
genotype_model2_3_01p_002h_05m_061.csv,0.97
genotype_model2_3_01p_002h_05m_084.csv,0.96
genotype_model2_3_01p_002h_05m_058.csv,0.99
genotype_model2_3_01p_002h_05m_071.csv,0.97
genotype_model2_3_01p_002h_05m_077.csv,0.94
genotype_model2_3_01p_002h_05m_006.csv,0.97
genotype_model2_3_01p_002h_05m_015.csv,0.98
genotype_model2_3_01p_002h_05m_032.csv,0.99
genotype_model2_3_01p_002h_05m_081.csv,0.98
genotype_model2_3_01p_002h_05m_054.csv,0.93
genotype_model2_3_01p_002h_05m_007.csv,0.97
genotype_model2_3_01p_002h_05m_040.csv,0.95
genotype_model2_3_01p_002h_05m_002.csv,0.98
genotype_model2_3_01p_002h_05m_035.csv,0.97
genotype_model2_3_01p_002h_05m_072.csv,0.97
genotype_model2_3_01p_002h_05m_048.csv,0.96
genotype_model2_3_01p_002h_05m_065.csv,0.94
genotype_model2_3_01p_002h_05m_012.csv,0.97
genotype_model2_3_01p_002h_05m_016.csv,0.96
genotype_model2_3_01p_002h_05m_090.csv,0.95
genotype_model2_3_01p_002h_05m_062.csv,0.96
genotype_model2_3_01p_002h_05m_064.csv,0.96
genotype_model2_3_01p_002h_05m_026.csv,0.97
genotype_model2_3_01p_002h_05m_031.csv,0.97
genotype_model2_3_01p_002h_05m_017.csv,0.95
genotype_model2_3_01p_002h_05m_011.csv,0.97
genotype_model2_3_01p_002h_05m_043.csv,0.97
genotype_model2_3_01p_002h_05m_009.csv,0.99
genotype_model2_3_01p_002h_05m_094.csv,0.97
genotype_model2_3_01p_002h_05m_033.csv,0.97
genotype_model2_3_01p_002h_05m_079.csv,0.97
genotype_model2_3_01p_002h_05m_051.csv,0.97
genotype_model2_3_01p_002h_05m_042.csv,0.96
genotype_model2_3_01p_002h_05m_028.csv,0.97
genotype_model2_3_01p_002h_05m_010.csv,0.99
genotype_model2_3_01p_002h_05m_041.csv,0.99
genotype_model2_3_01p_002h_05m_085.csv,0.97
genotype_model2_3_01p_002h_05m_024.csv,0.96
genotype_model2_3_01p_002h_05m_082.csv,0.98
genotype_model2_3_01p_002h_05m_091.csv,0.96
genotype_model2_3_01p_002h_05m_013.csv,0.93
genotype_model2_3_01p_002h_05m_069.csv,0.97
genotype_model2_3_01p_002h_05m_053.csv,0.98
genotype_model2_3_01p_002h_05m_030.csv,0.99
genotype_model2_3_01p_002h_05m_056.csv,0.96
genotype_model2_3_01p_002h_05m_023.csv,0.99
genotype_model2_3_01p_002h_05m_044.csv,0.97
genotype_model2_3_01p_002h_05m_005.csv,0.97
genotype_model2_3_01p_002h_05m_018.csv,0.99
genotype_model2_3_01p_002h_05m_020.csv,0.97
genotype_model2_3_01p_002h_05m_070.csv,0.98
genotype_model2_3_01p_002h_05m_003.csv,0.98
genotype_model2_3_01p_002h_05m_052.csv,0.97
genotype_model2_3_01p_002h_05m_076.csv,0.96
genotype_model2_3_01p_002h_05m_021.csv,0.98
genotype_model2_3_01p_002h_05m_022.csv,0.98
genotype_model2_3_01p_002h_05m_029.csv,0.97
genotype_model2_3_01p_002h_05m_037.csv,0.96
genotype_model2_3_01p_002h_05m_025.csv,0.95
genotype_model2_3_01p_002h_05m_093.csv,0.99
genotype_model2_3_01p_002h_05m_068.csv,0.97
genotype_model2_3_01p_002h_05m_099.csv,0.96
genotype_model2_3_01p_002h_05m_087.csv,0.96
genotype_model2_3_01p_002h_05m_046.csv,0.98
genotype_model2_3_01p_002h_05m_004.csv,0.98
genotype_model2_3_01p_002h_05m_060.csv,0.98
genotype_model2_3_01p_002h_05m_088.csv,0.99
genotype_model2_3_01p_002h_05m_063.csv,0.96
genotype_model2_3_01p_002h_05m_050.csv,0.98
genotype_model2_3_01p_002h_05m_008.csv,0.98
genotype_model2_3_01p_002h_05m_095.csv,0.96
genotype_model2_3_01p_002h_05m_097.csv,0.97
genotype_model2_3_01p_002h_05m_100.csv,0.99
genotype_model2_3_01p_002h_05m_014.csv,0.97
genotype_model2_3_01p_002h_05m_039.csv,0.95
genotype_model2_3_01p_002h_05m_080.csv,0.98
genotype_model2_3_01p_002h_05m_074.csv,0.97
genotype_model2_3_01p_002h_05m_001.csv,0.96
genotype_model2_3_01p_002h_05m_098.csv,0.98
genotype_model2_3_01p_002h_05m_034.csv,0.97
genotype_model2_3_01p_002h_05m_049.csv,0.99
genotype_model2_3_01p_002h_05m_083.csv,0.97
genotype_model2_3_01p_002h_05m_027.csv,0.99
genotype_model2_3_01p_002h_05m_092.csv,0.98
genotype_model2_3_01p_002h_05m_047.csv,0.98
genotype_model2_3_01p_002h_05m_038.csv,0.98
genotype_model2_3_01p_002h_05m_057.csv,0.97
genotype_model2_3_01p_002h_05m_066.csv,0.97
genotype_model2_3_01p_002h_05m_055.csv,0.97
genotype_model2_3_01p_002h_05m_075.csv,0.99
genotype_model2_3_01p_002h_05m_078.csv,0.95
genotype_model2_3_01p_002h_05m_086.csv,0.96
genotype_model2_3_01p_002h_05m_045.csv,0.98
genotype_model2_3_01p_002h_05m_019.csv,0.97
genotype_model2_3_01p_002h_05m_096.csv,0.95
genotype_model2_3_01p_002h_05m_089.csv,0.99
genotype_model2_3_01p_002h_05m_067.csv,0.95
genotype_model2_3_01p_002h_05m_059.csv,0.96
