Filename,TP,FP,FN,recall,precision,f_measure,power,average_time_per_run
genotype_model3_1_01p_002h_01m_091.csv,0,99,0,0.0,0.0,1.0,0.0,1.214969425201416
genotype_model3_1_01p_002h_01m_020.csv,0,99,0,0.0,0.0,1.0,0.0,1.1902250289916991
genotype_model3_1_01p_002h_01m_096.csv,0,99,0,0.0,0.0,1.0,0.0,1.159151587486267
genotype_model3_1_01p_002h_01m_048.csv,0,99,0,0.0,0.0,1.0,0.0,1.1968599891662597
genotype_model3_1_01p_002h_01m_056.csv,0,99,0,0.0,0.0,1.0,0.0,1.1689828991889955
genotype_model3_1_01p_002h_01m_070.csv,0,99,0,0.0,0.0,1.0,0.0,1.1784478950500488
genotype_model3_1_01p_002h_01m_077.csv,0,99,0,0.0,0.0,1.0,0.0,1.1795511937141419
genotype_model3_1_01p_002h_01m_052.csv,0,99,0,0.0,0.0,1.0,0.0,1.1890023779869079
genotype_model3_1_01p_002h_01m_085.csv,0,99,0,0.0,0.0,1.0,0.0,1.1669861936569215
genotype_model3_1_01p_002h_01m_075.csv,0,99,0,0.0,0.0,1.0,0.0,1.168519468307495
genotype_model3_1_01p_002h_01m_084.csv,0,99,0,0.0,0.0,1.0,0.0,1.1782777857780458
genotype_model3_1_01p_002h_01m_033.csv,0,99,0,0.0,0.0,1.0,0.0,1.2137190461158753
genotype_model3_1_01p_002h_01m_010.csv,0,99,0,0.0,0.0,1.0,0.0,1.180619583129883
genotype_model3_1_01p_002h_01m_018.csv,0,99,0,0.0,0.0,1.0,0.0,1.1758810329437255
genotype_model3_1_01p_002h_01m_089.csv,0,99,0,0.0,0.0,1.0,0.0,1.169453001022339
genotype_model3_1_01p_002h_01m_072.csv,0,99,0,0.0,0.0,1.0,0.0,1.2029134464263915
genotype_model3_1_01p_002h_01m_087.csv,0,99,0,0.0,0.0,1.0,0.0,1.1911267113685609
genotype_model3_1_01p_002h_01m_099.csv,0,99,0,0.0,0.0,1.0,0.0,1.202039749622345
genotype_model3_1_01p_002h_01m_009.csv,0,99,0,0.0,0.0,1.0,0.0,1.171534357070923
genotype_model3_1_01p_002h_01m_013.csv,0,99,0,0.0,0.0,1.0,0.0,1.2246183252334595
genotype_model3_1_01p_002h_01m_049.csv,0,99,0,0.0,0.0,1.0,0.0,1.1952885246276856
genotype_model3_1_01p_002h_01m_001.csv,0,99,0,0.0,0.0,1.0,0.0,1.1874678587913514
genotype_model3_1_01p_002h_01m_071.csv,0,99,0,0.0,0.0,1.0,0.0,1.1905465054512023
genotype_model3_1_01p_002h_01m_094.csv,0,99,0,0.0,0.0,1.0,0.0,1.2010029721260072
genotype_model3_1_01p_002h_01m_024.csv,0,99,0,0.0,0.0,1.0,0.0,1.1858858704566955
genotype_model3_1_01p_002h_01m_053.csv,0,99,0,0.0,0.0,1.0,0.0,1.1660775089263915
genotype_model3_1_01p_002h_01m_042.csv,0,99,0,0.0,0.0,1.0,0.0,1.2112941575050353
genotype_model3_1_01p_002h_01m_069.csv,0,99,0,0.0,0.0,1.0,0.0,1.1937423324584961
genotype_model3_1_01p_002h_01m_028.csv,0,99,0,0.0,0.0,1.0,0.0,1.1969828343391418
genotype_model3_1_01p_002h_01m_082.csv,0,99,0,0.0,0.0,1.0,0.0,1.1850168442726134
genotype_model3_1_01p_002h_01m_095.csv,0,99,0,0.0,0.0,1.0,0.0,1.16913893699646
genotype_model3_1_01p_002h_01m_097.csv,0,99,0,0.0,0.0,1.0,0.0,1.1878457570075989
genotype_model3_1_01p_002h_01m_051.csv,0,99,0,0.0,0.0,1.0,0.0,1.2165623116493225
genotype_model3_1_01p_002h_01m_037.csv,0,99,0,0.0,0.0,1.0,0.0,1.1951433062553405
genotype_model3_1_01p_002h_01m_041.csv,0,99,0,0.0,0.0,1.0,0.0,1.1616187858581544
genotype_model3_1_01p_002h_01m_021.csv,0,99,0,0.0,0.0,1.0,0.0,1.1960689163208007
genotype_model3_1_01p_002h_01m_027.csv,0,99,0,0.0,0.0,1.0,0.0,1.2174748492240905
genotype_model3_1_01p_002h_01m_025.csv,0,99,0,0.0,0.0,1.0,0.0,1.1659765648841858
genotype_model3_1_01p_002h_01m_054.csv,0,99,0,0.0,0.0,1.0,0.0,1.1996531748771668
genotype_model3_1_01p_002h_01m_038.csv,0,99,0,0.0,0.0,1.0,0.0,1.1603787922859192
genotype_model3_1_01p_002h_01m_050.csv,0,99,0,0.0,0.0,1.0,0.0,1.163791708946228
genotype_model3_1_01p_002h_01m_078.csv,0,99,0,0.0,0.0,1.0,0.0,1.1619654202461243
genotype_model3_1_01p_002h_01m_017.csv,0,99,0,0.0,0.0,1.0,0.0,1.2054488706588744
genotype_model3_1_01p_002h_01m_011.csv,0,99,0,0.0,0.0,1.0,0.0,1.210678734779358
genotype_model3_1_01p_002h_01m_003.csv,0,99,0,0.0,0.0,1.0,0.0,1.2082250475883485
genotype_model3_1_01p_002h_01m_086.csv,0,99,0,0.0,0.0,1.0,0.0,1.1860135293006897
genotype_model3_1_01p_002h_01m_045.csv,0,99,0,0.0,0.0,1.0,0.0,1.2077180171012878
genotype_model3_1_01p_002h_01m_068.csv,0,99,0,0.0,0.0,1.0,0.0,1.1974233531951903
genotype_model3_1_01p_002h_01m_023.csv,0,99,0,0.0,0.0,1.0,0.0,1.2288392543792725
genotype_model3_1_01p_002h_01m_093.csv,0,99,0,0.0,0.0,1.0,0.0,1.1780520343780518
genotype_model3_1_01p_002h_01m_040.csv,0,99,0,0.0,0.0,1.0,0.0,1.1699545764923096
genotype_model3_1_01p_002h_01m_046.csv,0,99,0,0.0,0.0,1.0,0.0,1.1749904203414916
genotype_model3_1_01p_002h_01m_061.csv,0,99,0,0.0,0.0,1.0,0.0,1.2090099501609801
genotype_model3_1_01p_002h_01m_005.csv,0,99,0,0.0,0.0,1.0,0.0,1.21300311088562
genotype_model3_1_01p_002h_01m_100.csv,0,99,0,0.0,0.0,1.0,0.0,1.1734532356262206
genotype_model3_1_01p_002h_01m_026.csv,0,99,0,0.0,0.0,1.0,0.0,1.147192931175232
genotype_model3_1_01p_002h_01m_031.csv,0,99,0,0.0,0.0,1.0,0.0,1.1549178433418275
genotype_model3_1_01p_002h_01m_022.csv,0,99,0,0.0,0.0,1.0,0.0,1.1772047924995421
genotype_model3_1_01p_002h_01m_044.csv,0,99,0,0.0,0.0,1.0,0.0,1.1922114443778993
genotype_model3_1_01p_002h_01m_080.csv,0,99,0,0.0,0.0,1.0,0.0,1.1498862767219544
genotype_model3_1_01p_002h_01m_029.csv,0,99,0,0.0,0.0,1.0,0.0,1.194116759300232
genotype_model3_1_01p_002h_01m_012.csv,0,99,0,0.0,0.0,1.0,0.0,1.1889924645423888
genotype_model3_1_01p_002h_01m_065.csv,0,99,0,0.0,0.0,1.0,0.0,1.1729896426200868
genotype_model3_1_01p_002h_01m_076.csv,0,99,0,0.0,0.0,1.0,0.0,1.2030241465568543
genotype_model3_1_01p_002h_01m_032.csv,0,99,0,0.0,0.0,1.0,0.0,1.1729990887641906
genotype_model3_1_01p_002h_01m_004.csv,0,99,0,0.0,0.0,1.0,0.0,1.202980442047119
genotype_model3_1_01p_002h_01m_019.csv,0,99,0,0.0,0.0,1.0,0.0,1.1529192519187927
genotype_model3_1_01p_002h_01m_074.csv,0,99,0,0.0,0.0,1.0,0.0,1.1935930347442627
genotype_model3_1_01p_002h_01m_030.csv,0,99,0,0.0,0.0,1.0,0.0,1.1761477756500245
genotype_model3_1_01p_002h_01m_090.csv,0,99,0,0.0,0.0,1.0,0.0,1.176639187335968
genotype_model3_1_01p_002h_01m_043.csv,0,99,0,0.0,0.0,1.0,0.0,1.1642612886428834
genotype_model3_1_01p_002h_01m_034.csv,0,99,0,0.0,0.0,1.0,0.0,1.1444004034996034
genotype_model3_1_01p_002h_01m_073.csv,0,99,0,0.0,0.0,1.0,0.0,1.1939354181289672
genotype_model3_1_01p_002h_01m_039.csv,0,99,0,0.0,0.0,1.0,0.0,1.1640994143486023
genotype_model3_1_01p_002h_01m_036.csv,0,99,0,0.0,0.0,1.0,0.0,1.179622962474823
genotype_model3_1_01p_002h_01m_067.csv,0,99,0,0.0,0.0,1.0,0.0,1.2113668704032898
genotype_model3_1_01p_002h_01m_060.csv,0,99,0,0.0,0.0,1.0,0.0,1.188022882938385
genotype_model3_1_01p_002h_01m_064.csv,0,99,0,0.0,0.0,1.0,0.0,1.2109834003448485
genotype_model3_1_01p_002h_01m_047.csv,0,99,0,0.0,0.0,1.0,0.0,1.1850135183334352
genotype_model3_1_01p_002h_01m_098.csv,0,99,0,0.0,0.0,1.0,0.0,1.2144839286804199
genotype_model3_1_01p_002h_01m_055.csv,0,99,0,0.0,0.0,1.0,0.0,1.1457322359085083
genotype_model3_1_01p_002h_01m_088.csv,0,99,0,0.0,0.0,1.0,0.0,1.2295830702781678
genotype_model3_1_01p_002h_01m_066.csv,0,99,0,0.0,0.0,1.0,0.0,1.1690737318992614
genotype_model3_1_01p_002h_01m_008.csv,0,99,0,0.0,0.0,1.0,0.0,1.2041205954551697
genotype_model3_1_01p_002h_01m_015.csv,0,99,0,0.0,0.0,1.0,0.0,1.2049894475936889
genotype_model3_1_01p_002h_01m_016.csv,0,99,0,0.0,0.0,1.0,0.0,1.1552224564552307
genotype_model3_1_01p_002h_01m_081.csv,0,99,0,0.0,0.0,1.0,0.0,1.1897668862342834
