Filename,TP,FP,FN,recall,precision,f_measure,power,average_time_per_run
genotype_model1_0_01p_0005h_005m_043.csv,75,24,0,1.0,0.7575757575757576,0.532258064516129,0.75,5.695917329788208
genotype_model1_0_01p_0005h_005m_031.csv,41,58,0,1.0,0.41414141414141414,0.5857988165680473,0.41,5.904946804046631
genotype_model1_0_01p_0005h_005m_011.csv,89,10,0,1.0,0.898989898989899,0.5129533678756477,0.89,5.7409887742996215
genotype_model1_0_01p_0005h_005m_060.csv,28,71,0,1.0,0.2828282828282828,0.6092307692307692,0.28,5.666997566223144
genotype_model1_0_01p_0005h_005m_086.csv,89,10,0,1.0,0.898989898989899,0.5129533678756477,0.89,6.066006972789764
genotype_model1_0_01p_0005h_005m_099.csv,51,48,0,1.0,0.5151515151515151,0.5689655172413793,0.51,5.796006217002868
genotype_model1_0_01p_0005h_005m_059.csv,44,55,0,1.0,0.4444444444444444,0.5806451612903225,0.44,6.189306056499481
genotype_model1_0_01p_0005h_005m_022.csv,93,6,0,1.0,0.9393939393939394,0.5076923076923077,0.93,6.116246147155762
genotype_model1_0_01p_0005h_005m_076.csv,94,5,0,1.0,0.9494949494949495,0.5063938618925832,0.94,6.090486772060395
genotype_model1_0_01p_0005h_005m_024.csv,16,83,0,1.0,0.16161616161616163,0.6325878594249201,0.16,5.8339838337898255
genotype_model1_0_01p_0005h_005m_042.csv,35,64,0,1.0,0.35353535353535354,0.5963855421686747,0.35,5.697991282939911
genotype_model1_0_01p_0005h_005m_070.csv,80,19,0,1.0,0.8080808080808081,0.5251989389920425,0.8,5.658007466793061
genotype_model1_0_01p_0005h_005m_038.csv,1,98,0,1.0,0.010101010101010102,0.6644295302013423,0.01,6.19798219203949
genotype_model1_0_01p_0005h_005m_023.csv,95,4,0,1.0,0.9595959595959596,0.5051020408163266,0.95,5.87101806640625
genotype_model1_0_01p_0005h_005m_062.csv,92,7,0,1.0,0.9292929292929293,0.5089974293059126,0.92,5.813003089427948
genotype_model1_0_01p_0005h_005m_036.csv,89,10,0,1.0,0.898989898989899,0.5129533678756477,0.89,5.787974600791931
genotype_model1_0_01p_0005h_005m_040.csv,62,37,0,1.0,0.6262626262626263,0.5515320334261838,0.62,5.857034869194031
genotype_model1_0_01p_0005h_005m_002.csv,89,10,0,1.0,0.898989898989899,0.5129533678756477,0.89,5.792981021404266
genotype_model1_0_01p_0005h_005m_091.csv,32,67,0,1.0,0.32323232323232326,0.601823708206687,0.32,6.003992919921875
genotype_model1_0_01p_0005h_005m_064.csv,96,3,0,1.0,0.9696969696969697,0.5038167938931297,0.96,6.012036819458007
