# Result from SMMB-ACO 
# Pattern || Occurences || G2-score || p-value || unreliable case
{SNP-N-29} || 1 || 7.25576 || 0.0265724 || 0
{SNP-N-133} || 1 || 7.3334 || 0.0255607 || 0
{SNP-N-136} || 1 || 10.1084 || 0.00638259 || 0
{SNP-N-160} || 1 || 6.47262 || 0.0393087 || 0
{SNP-N-179} || 1 || 6.54626 || 0.0378877 || 0
{SNP-N-245} || 3 || 6.85614 || 0.0324495 || 0
{SNP-N-301} || 1 || 6.0965 || 0.0474419 || 0
{SNP-N-309} || 2 || 7.11115 || 0.028565 || 0
{SNP-N-329} || 2 || 6.5488 || 0.0378395 || 0
{SNP-N-433} || 3 || 7.72435 || 0.0210222 || 0
{SNP-N-532} || 1 || 6.92835 || 0.0312988 || 0
{SNP-N-562} || 2 || 11.4987 || 0.00318485 || 0
{SNP-N-600} || 1 || 7.37543 || 0.0250292 || 0
{SNP-N-619} || 1 || 6.79813 || 0.0334045 || 0
{SNP-N-626} || 1 || 9.81826 || 0.0073789 || 0
{SNP-N-652} || 2 || 7.17143 || 0.0277168 || 0
{SNP-N-706} || 1 || 8.05507 || 0.0178182 || 0
{SNP-N-732} || 1 || 6.90075 || 0.0317337 || 0
{SNP-N-742} || 1 || 6.63303 || 0.0362791 || 0
{SNP-N-752} || 1 || 6.63862 || 0.0361778 || 0
{SNP-N-824} || 1 || 10.9571 || 0.00417542 || 0
{SNP-N-832} || 1 || 7.13634 || 0.0282074 || 0
{SNP-N-884} || 1 || 8.65929 || 0.0131722 || 0
{SNP-N-911} || 2 || 9.63655 || 0.00808073 || 0
{SNP-N-938} || 1 || 7.68622 || 0.0214268 || 0
{SNP-N-942} || 1 || 9.67793 || 0.00791526 || 0
{SNP-N-976} || 2 || 7.62394 || 0.0221045 || 0
{SNP-C-0} || 9 || 2116.84 || 2e-16 || 1
{SNP-C-1} || 766 || 2135.86 || 2e-16 || 1
# Time of execution: 665 seconds
