Filename,TP,FP,FN,recall,precision,f_measure,power,average_time_per_run
genotype_model3_0_01p_002h_005m_085.csv,0,99,0,0.0,0.0,1.0,0.0,1.1780866026878356
genotype_model3_0_01p_002h_005m_074.csv,0,99,0,0.0,0.0,1.0,0.0,1.2011959218978883
genotype_model3_0_01p_002h_005m_056.csv,0,99,0,0.0,0.0,1.0,0.0,1.1894229030609131
genotype_model3_0_01p_002h_005m_100.csv,0,99,0,0.0,0.0,1.0,0.0,1.18903822183609
genotype_model3_0_01p_002h_005m_027.csv,0,99,0,0.0,0.0,1.0,0.0,1.1583127999305725
genotype_model3_0_01p_002h_005m_079.csv,0,99,0,0.0,0.0,1.0,0.0,1.19067232131958
genotype_model3_0_01p_002h_005m_023.csv,0,99,0,0.0,0.0,1.0,0.0,1.2219861364364624
genotype_model3_0_01p_002h_005m_019.csv,0,99,0,0.0,0.0,1.0,0.0,1.203004105091095
genotype_model3_0_01p_002h_005m_081.csv,0,99,0,0.0,0.0,1.0,0.0,1.1891219067573546
genotype_model3_0_01p_002h_005m_070.csv,0,99,0,0.0,0.0,1.0,0.0,1.1968770337104797
genotype_model3_0_01p_002h_005m_062.csv,0,99,0,0.0,0.0,1.0,0.0,1.192629301548004
genotype_model3_0_01p_002h_005m_002.csv,0,99,0,0.0,0.0,1.0,0.0,1.1881342554092407
genotype_model3_0_01p_002h_005m_028.csv,0,99,0,0.0,0.0,1.0,0.0,1.2238641905784606
genotype_model3_0_01p_002h_005m_014.csv,0,99,0,0.0,0.0,1.0,0.0,1.1836932826042175
genotype_model3_0_01p_002h_005m_012.csv,0,99,0,0.0,0.0,1.0,0.0,1.2052046036720276
genotype_model3_0_01p_002h_005m_018.csv,0,99,0,0.0,0.0,1.0,0.0,1.2099205899238585
genotype_model3_0_01p_002h_005m_042.csv,0,99,0,0.0,0.0,1.0,0.0,1.1895392227172852
genotype_model3_0_01p_002h_005m_031.csv,0,99,0,0.0,0.0,1.0,0.0,1.1875689959526061
genotype_model3_0_01p_002h_005m_003.csv,0,99,0,0.0,0.0,1.0,0.0,1.1857625889778136
genotype_model3_0_01p_002h_005m_063.csv,0,99,0,0.0,0.0,1.0,0.0,1.1480479431152344
genotype_model3_0_01p_002h_005m_032.csv,0,99,0,0.0,0.0,1.0,0.0,1.1929041862487793
genotype_model3_0_01p_002h_005m_041.csv,0,99,0,0.0,0.0,1.0,0.0,1.1817124915122985
genotype_model3_0_01p_002h_005m_092.csv,0,99,0,0.0,0.0,1.0,0.0,1.1449921417236328
genotype_model3_0_01p_002h_005m_055.csv,0,99,0,0.0,0.0,1.0,0.0,1.2215190100669862
genotype_model3_0_01p_002h_005m_078.csv,0,99,0,0.0,0.0,1.0,0.0,1.1984936928749084
genotype_model3_0_01p_002h_005m_093.csv,0,99,0,0.0,0.0,1.0,0.0,1.186605498790741
genotype_model3_0_01p_002h_005m_095.csv,0,99,0,0.0,0.0,1.0,0.0,1.231052975654602
genotype_model3_0_01p_002h_005m_054.csv,0,99,0,0.0,0.0,1.0,0.0,1.2170235681533814
genotype_model3_0_01p_002h_005m_049.csv,0,99,0,0.0,0.0,1.0,0.0,1.1686301398277283
genotype_model3_0_01p_002h_005m_038.csv,0,99,0,0.0,0.0,1.0,0.0,1.2246816062927246
genotype_model3_0_01p_002h_005m_025.csv,0,99,0,0.0,0.0,1.0,0.0,1.2149933362007141
genotype_model3_0_01p_002h_005m_044.csv,0,99,0,0.0,0.0,1.0,0.0,1.2008807826042176
genotype_model3_0_01p_002h_005m_096.csv,0,99,0,0.0,0.0,1.0,0.0,1.17324316740036
genotype_model3_0_01p_002h_005m_036.csv,0,99,0,0.0,0.0,1.0,0.0,1.1868832111358643
genotype_model3_0_01p_002h_005m_045.csv,0,99,0,0.0,0.0,1.0,0.0,1.2024511671066285
genotype_model3_0_01p_002h_005m_043.csv,0,99,0,0.0,0.0,1.0,0.0,1.1932987403869628
genotype_model3_0_01p_002h_005m_009.csv,0,99,0,0.0,0.0,1.0,0.0,1.140151824951172
genotype_model3_0_01p_002h_005m_086.csv,0,99,0,0.0,0.0,1.0,0.0,1.183369128704071
genotype_model3_0_01p_002h_005m_015.csv,0,99,0,0.0,0.0,1.0,0.0,1.1557080769538879
genotype_model3_0_01p_002h_005m_069.csv,0,99,0,0.0,0.0,1.0,0.0,1.249009063243866
genotype_model3_0_01p_002h_005m_084.csv,0,99,0,0.0,0.0,1.0,0.0,1.2029939532279967
genotype_model3_0_01p_002h_005m_001.csv,0,99,0,0.0,0.0,1.0,0.0,1.197012312412262
genotype_model3_0_01p_002h_005m_039.csv,0,99,0,0.0,0.0,1.0,0.0,1.1935330128669739
genotype_model3_0_01p_002h_005m_076.csv,0,99,0,0.0,0.0,1.0,0.0,1.2318547344207764
genotype_model3_0_01p_002h_005m_030.csv,0,99,0,0.0,0.0,1.0,0.0,1.1969615268707274
genotype_model3_0_01p_002h_005m_091.csv,0,99,0,0.0,0.0,1.0,0.0,1.1816319108009339
genotype_model3_0_01p_002h_005m_052.csv,0,99,0,0.0,0.0,1.0,0.0,1.2000495028495788
genotype_model3_0_01p_002h_005m_083.csv,0,99,0,0.0,0.0,1.0,0.0,1.1912390494346619
genotype_model3_0_01p_002h_005m_082.csv,0,99,0,0.0,0.0,1.0,0.0,1.1755222272872925
genotype_model3_0_01p_002h_005m_059.csv,0,99,0,0.0,0.0,1.0,0.0,1.2342331552505492
genotype_model3_0_01p_002h_005m_029.csv,0,99,0,0.0,0.0,1.0,0.0,1.2162203288078308
genotype_model3_0_01p_002h_005m_008.csv,0,99,0,0.0,0.0,1.0,0.0,1.1838212895393372
genotype_model3_0_01p_002h_005m_033.csv,0,99,0,0.0,0.0,1.0,0.0,1.1939391326904296
genotype_model3_0_01p_002h_005m_024.csv,0,99,0,0.0,0.0,1.0,0.0,1.201855251789093
genotype_model3_0_01p_002h_005m_065.csv,0,99,0,0.0,0.0,1.0,0.0,1.1711241912841797
genotype_model3_0_01p_002h_005m_050.csv,0,99,0,0.0,0.0,1.0,0.0,1.1604615759849548
genotype_model3_0_01p_002h_005m_053.csv,0,99,0,0.0,0.0,1.0,0.0,1.1445271897315978
genotype_model3_0_01p_002h_005m_067.csv,0,99,0,0.0,0.0,1.0,0.0,1.2040979719161988
genotype_model3_0_01p_002h_005m_035.csv,0,99,0,0.0,0.0,1.0,0.0,1.2090814924240112
genotype_model3_0_01p_002h_005m_034.csv,0,99,0,0.0,0.0,1.0,0.0,1.1943977904319762
genotype_model3_0_01p_002h_005m_068.csv,0,99,0,0.0,0.0,1.0,0.0,1.1956598234176636
genotype_model3_0_01p_002h_005m_071.csv,0,99,0,0.0,0.0,1.0,0.0,1.2007706427574159
genotype_model3_0_01p_002h_005m_073.csv,0,99,0,0.0,0.0,1.0,0.0,1.2274129724502563
genotype_model3_0_01p_002h_005m_072.csv,0,99,0,0.0,0.0,1.0,0.0,1.201820342540741
genotype_model3_0_01p_002h_005m_090.csv,0,99,0,0.0,0.0,1.0,0.0,1.239734034538269
genotype_model3_0_01p_002h_005m_060.csv,0,99,0,0.0,0.0,1.0,0.0,1.1921677231788634
genotype_model3_0_01p_002h_005m_088.csv,0,99,0,0.0,0.0,1.0,0.0,1.1858565926551818
genotype_model3_0_01p_002h_005m_011.csv,0,99,0,0.0,0.0,1.0,0.0,1.1900813031196593
genotype_model3_0_01p_002h_005m_004.csv,0,99,0,0.0,0.0,1.0,0.0,1.2029032826423645
genotype_model3_0_01p_002h_005m_066.csv,0,99,0,0.0,0.0,1.0,0.0,1.1783788585662842
genotype_model3_0_01p_002h_005m_080.csv,0,99,0,0.0,0.0,1.0,0.0,1.1676279282569886
genotype_model3_0_01p_002h_005m_064.csv,0,99,0,0.0,0.0,1.0,0.0,1.1913632130622864
genotype_model3_0_01p_002h_005m_010.csv,0,99,0,0.0,0.0,1.0,0.0,1.1473462510108947
genotype_model3_0_01p_002h_005m_048.csv,0,99,0,0.0,0.0,1.0,0.0,1.173308470249176
genotype_model3_0_01p_002h_005m_099.csv,0,99,0,0.0,0.0,1.0,0.0,1.1826066827774049
genotype_model3_0_01p_002h_005m_046.csv,0,99,0,0.0,0.0,1.0,0.0,1.1813756608963013
genotype_model3_0_01p_002h_005m_061.csv,0,99,0,0.0,0.0,1.0,0.0,1.2526279377937317
genotype_model3_0_01p_002h_005m_051.csv,0,99,0,0.0,0.0,1.0,0.0,1.1987997841835023
genotype_model3_0_01p_002h_005m_013.csv,0,99,0,0.0,0.0,1.0,0.0,1.2082557988166809
genotype_model3_0_01p_002h_005m_026.csv,0,99,0,0.0,0.0,1.0,0.0,1.1721221065521241
genotype_model3_0_01p_002h_005m_058.csv,0,99,0,0.0,0.0,1.0,0.0,1.2208078479766846
genotype_model3_0_01p_002h_005m_047.csv,0,99,0,0.0,0.0,1.0,0.0,1.213477098941803
genotype_model3_0_01p_002h_005m_005.csv,0,99,0,0.0,0.0,1.0,0.0,1.1600576615333558
genotype_model3_0_01p_002h_005m_077.csv,0,99,0,0.0,0.0,1.0,0.0,1.2244036650657655
genotype_model3_0_01p_002h_005m_040.csv,0,99,0,0.0,0.0,1.0,0.0,1.2319996690750121
genotype_model3_0_01p_002h_005m_094.csv,0,99,0,0.0,0.0,1.0,0.0,1.2254405975341798
genotype_model3_0_01p_002h_005m_057.csv,0,99,0,0.0,0.0,1.0,0.0,1.1876245427131653
genotype_model3_0_01p_002h_005m_037.csv,0,99,0,0.0,0.0,1.0,0.0,1.1888084530830383
genotype_model3_0_01p_002h_005m_089.csv,0,99,0,0.0,0.0,1.0,0.0,1.2055490708351135
genotype_model3_0_01p_002h_005m_016.csv,0,99,0,0.0,0.0,1.0,0.0,1.182625651359558
genotype_model3_0_01p_002h_005m_017.csv,0,99,0,0.0,0.0,1.0,0.0,1.1861669635772705
genotype_model3_0_01p_002h_005m_021.csv,0,99,0,0.0,0.0,1.0,0.0,1.1724899816513061
genotype_model3_0_01p_002h_005m_075.csv,0,99,0,0.0,0.0,1.0,0.0,1.202539086341858
genotype_model3_0_01p_002h_005m_007.csv,0,99,0,0.0,0.0,1.0,0.0,1.1719477295875549
genotype_model3_0_01p_002h_005m_020.csv,0,99,0,0.0,0.0,1.0,0.0,1.158305733203888
genotype_model3_0_01p_002h_005m_097.csv,0,99,0,0.0,0.0,1.0,0.0,1.1964964413642882
genotype_model3_0_01p_002h_005m_006.csv,0,99,0,0.0,0.0,1.0,0.0,1.1773922181129455
genotype_model3_0_01p_002h_005m_087.csv,0,99,0,0.0,0.0,1.0,0.0,1.206795995235443
genotype_model3_0_01p_002h_005m_098.csv,0,99,0,0.0,0.0,1.0,0.0,1.159232997894287
genotype_model3_0_01p_002h_005m_022.csv,0,99,0,0.0,0.0,1.0,0.0,1.1596720027923584
### Total evaluation time : 11930.813811540604
